タスク大分類,タスク大分類説明,タスク中分類,タスク小分類,評価項目,評価項目説明,表示順,作成日,変更日,削除日,最終更新日,重複対象タスク中分類識別子,重複対象タスク小分類識別子,重複対象評価項目識別子,営農１年目,営農２年目,営農,農場長,営業,事務,総務,顧問,管理者
機械管理＞大型,,トラクター＜グレーダー,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,130,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜グレーダー,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,131,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜グレーダー,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,132,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜グレーダー,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,133,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜フレールモア,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,134,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜フレールモア,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,135,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜フレールモア,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,136,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜フレールモア,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,137,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,マルチャー,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,138,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,マルチャー,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,139,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,マルチャー,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,140,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,マルチャー,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,141,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,乗用管理機,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,142,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,乗用管理機,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,143,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,乗用管理機,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,144,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,乗用管理機,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,145,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,バッテリー動噴,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,146,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,バッテリー動噴,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,147,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,草刈り機,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,148,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,草刈り機,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,149,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,スパイダーモア,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,150,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,スパイダーモア,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,151,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,マルチ回収機,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,152,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,マルチ回収機,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,153,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,管理機,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,154,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,管理機,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,155,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,動噴,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,156,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,動噴,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,157,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,移植機,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,158,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,移植機,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,159,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,スミレイン・レインガン,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,160,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞作業機,,スミレイン・レインガン,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,161,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,農薬散布ドローン,DIPS申請,DIPSでドローンの飛行計画を申請する,,162,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,農薬散布ドローン,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,オペレーター重要タスク,163,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,農薬散布ドローン,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,オペレーター重要タスク,164,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,農薬散布ドローン,アタッチメントの装備,アタッチメントを正しく、安全に脱着する,,165,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,肥料散布ドローン,DIPS申請,DIPSでドローンの飛行計画を申請する,,166,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,肥料散布ドローン,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,167,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,肥料散布ドローン,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,168,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械整備＞ドローン,,肥料散布ドローン,アタッチメントの装備,アタッチメントを正しく、安全に脱着する,,169,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
設備管理,,コンプレッサー,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,170,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
設備管理,,コンプレッサー,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,171,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
設備管理,,高圧洗浄機,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,172,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
設備管理,,高圧洗浄機,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,173,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
衛生・安全管理,,安全管理,安全管理,燃料・農薬など資材のリスクを理解し、作業を行う。,マスク・手袋・防護服の着用,174,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
衛生・安全管理,,整理整頓,５S,５Sを理解し、実行する,,175,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
衛生・安全管理,,機械＞緊急時対応,緊急時対応,事故や怪我、急な故障等に緊急時にマニュアルに従って正しく行動する。,,176,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
衛生・安全管理,,農作業全般,安全講習,農作業全般の安全講習の受講。,,177,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
衛生・安全管理,,農作業全般,労働衛生管理,労働衛生管理の講習会の受講。,農薬、使用資材を安全に使うための講習会。,178,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
衛生・安全管理,,機械＞安全確認,安全確認,周囲の安全を確認する,,179,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
気象・災害,,気象災害対応,台風対策情報収集,地域情報や過去の対策方法、指導機関からの台風対策等を収集する,,180,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
気象・災害,,気象災害対応,台風対策情報収集,台風事前対策を理解し、対策を講じる,,181,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
鳥獣害対策,,電気柵（ワイヤーメッシュ）,点検,定期的に漏電等がないか点検を行う,,182,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
鳥獣害対策,,電気柵（ワイヤーメッシュ）,整備・簡易的な修繕,点検により漏電が発見された場合に素早く漏電箇所を修繕する。,,183,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
鳥獣害対策,,鳥獣害対策＞電気柵（ワイヤーメッシュ）,鳥獣害対策準備,地域の鳥獣害発生情報を把握する,,184,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
鳥獣害対策,,鳥獣害対策＞電気柵（ワイヤーメッシュ）,電気柵（ワイヤーメッシュ）の設置,獣害に応じた電気柵（ワイヤーメッシュ）の正しい設置方法を理解し、設置する,,185,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
鳥獣害対策,,鳥獣害対策＞電気柵（ワイヤーメッシュ）,電気柵（ワイヤーメッシュ）の設置,電柵下の除草や侵入対策を行い、水田への鳥獣害被害を軽減する,,186,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
生産マネージメント,,標準化,基準書の作成,共通の判断基準をまとめて、基準書を作成する。,,187,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,標準化,ガイドラインの作成,共通の実施指針をまとめて、ガイドラインを作成する。,,188,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,標準化,コミュニケーション計画,収集と伝達が必要な情報、関係者への伝達手段を定義する,,189,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,標準化,コミュニケーション計画,関係者間のコミュニケーションと情報伝達を図るための仕組みやルールを定義する,,190,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,標準化,コミュニケーション計画,情報の報告方法を定義する,,191,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,標準化,コミュニケーション計画,収集した情報の分類と保管のためのルールを定義する,,192,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,圃場の引継ぎ（圃場環境の理解）,圃場カルテをもとに、圃場の特性や、農作業を行う上で注意すべき点を理解し、説明する。,,193,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,圃場の引継ぎ（圃場環境の理解）,土壌診断結果の内容を元に適切な施肥計画を立てる。,,194,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,品目・品種の検討,計画した出荷数量を達成するために、単位面積あたりの予定数量を実現するための品種を選定する。（定量的）,,195,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,品目・品種の検討,過去の収穫実績に基づき、時期、標高、土壌特性等を意識した品種を選定する。（定性的）,,196,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,出荷計画,契約数量が確保できる出荷計画を策定する。,,197,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,播種・定植計画,予定した収穫日に収穫するため、過去の生育日数に基づいた播種・定植計画を立てる。,,198,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,圃場回転表の作成,品目、品種、季節による生育日数の変動を理解し、作付（定植～収穫）の前後の管理作業による圃場の占有も把握した上で圃場回転表を作成する。,,199,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,収穫計画,予定した収穫日に収穫するため、収穫に必要なリソース（機材、人など）を見積もり、収穫計画を策定する。,,200,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,防除計画,必要な防除を把握し、防除計画を立てる。,,201,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,人員計画,播種・定植計画、収穫計画、防除計画、その他の管理作業を元に各人員のスキルを把握し、実現性のある人員計画を策定する。,,202,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,調達計画,在庫量を把握したうえで、調達先に要求すべき仕様（資材、人、機器類等）を明らかにし、文書化する,,203,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,費用計画（直接費：材料費、労務費）,作業に必要な人員、機器等の資源を洗い出し、必要な金額を積算する,,204,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,費用計画（直接費：材料費、労務費）,金額および出費の時期を明らかにする,,205,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,費用計画（直接費：材料費、労務費）,予算内において、積算した必要金額の調整を行い、実行可能な予算計画を策定する,,206,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,品質計画,品質特性を理解し、品質方針と達成目標（品質基準）を定める,,207,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,品質計画,品質を作り込む手段としての生産工程、基準、規約等を選択または決定する,,208,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,品質計画,品質保証のための組織構造、責任、生産工程、資材等を明らかにし、品質保証計画を策定する,,209,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,リスク管理計画の策定,主要なリスク（スケジュール、資材計画、組織・要員、調達、費用、品質、鳥獣害）を洗い出す,,210,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,リスク管理計画の策定,リスクの発生確率や影響範囲をマッピングする。,,211,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,リスク管理計画の策定,リスクの影響度を計り、対応の優先順位を決定し、対応策を立案する,,212,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,リスク管理計画の策定,リスク発生の予防策を計画する,,213,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,リスク管理計画の策定,リスクの対応計画を策定する,,214,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,生産計画,リスク管理計画の策定,リスク発生を監視、追跡し、コントロールするための管理表を作成する,,215,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,実行管理,生産工程が計画通りに推移するようコントロールする,,216,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,実行管理,計画と実施の差異に対して、必要な是正策を実施する,,217,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,実行管理,計画の変更が承認された場合、変更を確実に実施し、その効果を追跡する,,218,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,知識管理,関係者のスキル、経験、専門知識の共有を行う,,219,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,知識管理,情報管理ツールの使い方を理解し、生産情報の見える化・共有化を進める。,,220,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,知識管理,生産技術や農業資材に関する知識を共有する機会の創出、資料作成を通じ、関係者のレベルアップを促進する。,,221,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,問題管理,生産工程中のすべての問題を識別し、適切な情報を収集して分析する,,222,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,問題管理,問題の重要性を識別し、影響を推定する,,223,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,問題管理,発生した問題に対して、必要に応じて対策を講じる,,224,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,問題管理,大きな問題は変更管理の対象として処理する,,225,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,問題管理,発生した問題に類似する他の問題の潜在性を検証する,,226,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,状況の報告,成果物、進行状況、組織活動、生産工程管理の結果を文書化し、報告する,,227,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,状況の報告,問題の発生とその対応結果を文書化し、報告する,,228,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,状況の報告,承認された変更管理の実施状況およびその結果を文書化し、報告する,,229,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,進捗管理,最優先で管理すべき作業工程を把握する,,230,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,進捗管理,マイルストーンにおける目標達成状況を確認する,,231,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,進捗管理,進捗遅延に対する対策を講じる,,232,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,進捗管理,生産工程全体の進捗に大きな影響を与える遅延に対しては、スケジュール変更を計画し、承認を受けて実施する,,233,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,資源管理,農薬、肥料などの資材を計画通りに投入し、生産する,,234,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,資源管理,農薬、肥料などの資材の過不足が識別された場合、対応策を講じる,,235,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,資源管理,生産工程全体の進捗に大きな影響を与える農薬、肥料などの資材の不足に対しては、資材変更を計画し、承認を受けて実施する,,236,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,組織要員管理,作業員・作業チームにおける効率性、負荷バランス、技術水準、協調体制、意思疎通および生産工程管理方式等に関する評価を行う,,237,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,組織要員管理,各作業チームの人員に過不足がないかを監視し、過不足が生じた場合は、調達、配置転換等の対応を立案する,,238,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,組織要員管理,作業員・作業チームが役割と責任を果たし、業務を遂行するための施策を講じる,,239,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,調達管理,外部調達選定基準に照らして最適な外部委託先を選定する,,240,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,調達管理,契約交渉段階で、生産計画に適合する条件協議を行う,,241,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,調達管理,計画未達の場合、委託企業から解決策提案を受け、その妥当性と実現性を審査し、実行させる,,242,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,調達管理,契約範囲外の作業に関して、契約変更を計画し、承認を受け実施する,,243,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,費用管理,支払いを計画通りに実施する,,244,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,費用管理,費用超過が識別された場合、対応策を講じる,,245,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,費用管理,生産工程全体に大きな影響を与える費用超過に対しては、費用変更を計画し、承認を受けて実施する,,246,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,品質管理,定められた手順に沿って、品質管理を実施する,,247,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,品質管理,品質基準に満たない事象が識別された場合、対応策を講じる,,248,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,品質管理,生産工程全体の品質に大きな影響が予測される場合、品質保証計画を変更し、承認を受けて実施する,,249,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,品質管理,品質保証計画の変更に伴う改善状況を確認する,,250,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,リスク管理,リスク管理対象のすべての要素に対して監視する,,251,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,リスク管理,計画されたすべてのリスク予防策を実施し、その効果を確認する,,252,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,リスク管理,新たに識別したリスクへの予防策、発生時対応計画を策定し、実施する,,253,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,リスク管理,リスクの発生に伴い、対応計画を実行して結果を評価する,,254,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,リスク管理,リスク発生に伴うすべての事項を文書化する,,255,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,コミュニケーション管理,生産工程の情報の収集と報告を生産計画通りに実施させる,,256,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,コミュニケーション管理,会議体の設定を計画通りに実行させる,,257,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,コミュニケーション管理,コミュニケーションの過不足が認識された場合、対応策を講じる,,258,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,コミュニケーション管理,生産工程全体の進捗に大きな影響を与えるコミュニケーション不足については、コミュニケーション計画を変更し、承認を受けて実施する,,259,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,変更管理,起案されたすべての変更要求を受け付け、保存（データベース化）する,,260,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,変更管理,変更要求に関連する付帯的な情報を収集し、変更要求を把握する,,261,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,変更管理,変更要求に対する分析と評価を行い、その対応方針を定める,,262,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,変更管理,変更による、範囲、スケジュール、費用等への影響を推定する,,263,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,変更管理,変更要求と対応策について、関係者と基準に照らして評価し、承認する,,264,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,実行管理,変更管理,変更実施を直接的な関わりを持つ、もしくはその影響を受けるすべての関係者に伝達する,,265,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,完了処理,完了報告,生産工程全体の実行要約を文書化する,,266,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,完了処理,完了報告,初期計画と完了時の差異発生の原因を文書化する,,267,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,完了処理,完了報告,実施した変更の効果を文書化する,,268,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,完了処理,完了報告,すべての成果物（生産の過程で作成したアウトプット）を管理者に引き渡し、承認を得る,,269,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,完了処理,完了報告,完了状況を関係者に報告する,,270,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
生産マネージメント,,完了処理,完了評価,生産工程完了後、生産工程中に発生した事象や重要なポイント・結果等を整理し、文書化する,,271,2024/4/8,2024/4/8,,,,,,,◎,◎,◎,,,,◎,◎
